t,v,s,f,q
2015-09-17 08:30,1.24,0.014,"0,0,0,0",v
2015-09-17 08:36,1.235,0.014,"0,0,0,0",v
2015-09-17 08:42,1.224,0.014,"0,0,0,0",v
2015-09-17 08:48,1.228,0.014,"0,0,0,0",v
2015-09-17 08:54,1.24,0.012,"0,0,0,0",v
2015-09-17 09:00,1.234,0.011,"0,0,0,0",v
2015-09-17 09:06,1.228,0.014,"0,0,0,0",v
2015-09-17 09:12,1.235,0.015,"0,0,0,0",v
2015-09-17 09:18,1.239,0.011,"0,0,0,0",v
2015-09-17 09:24,1.232,0.014,"0,0,0,0",v
2015-09-17 09:30,1.24,0.014,"0,0,0,0",v
2015-09-17 09:36,1.239,0.015,"0,0,0,0",v
2015-09-17 09:42,1.236,0.012,"0,0,0,0",v
2015-09-17 09:48,1.231,0.012,"0,0,0,0",v
2015-09-17 09:54,1.25,0.013,"0,0,0,0",v
2015-09-17 10:00,1.233,0.014,"0,0,0,0",v
2015-09-17 10:06,1.233,0.015,"0,0,0,0",v
2015-09-17 10:12,1.235,0.015,"0,0,0,0",v
2015-09-17 10:18,1.242,0.016,"0,0,0,0",v
2015-09-17 10:24,1.236,0.017,"0,0,0,0",v
2015-09-17 10:30,1.233,0.012,"0,0,0,0",v
2015-09-17 10:36,1.244,0.016,"0,0,0,0",v
2015-09-17 10:42,1.247,0.017,"0,0,0,0",v
2015-09-17 10:48,1.238,0.018,"0,0,0,0",v
2015-09-17 10:54,1.242,0.02,"0,0,0,0",v
2015-09-17 11:00,1.261,0.016,"0,0,0,0",v
2015-09-17 11:06,1.248,0.013,"0,0,0,0",v
2015-09-17 11:12,1.249,0.014,"0,0,0,0",v
2015-09-17 11:18,1.274,0.015,"0,0,0,0",v
2015-09-17 11:24,1.275,0.014,"0,0,0,0",v
2015-09-17 11:30,1.28,0.013,"0,0,0,0",v
2015-09-17 11:36,1.29,0.015,"0,0,0,0",v
2015-09-17 11:42,1.301,0.015,"0,0,0,0",v
2015-09-17 11:48,1.306,0.013,"0,0,0,0",v
2015-09-17 11:54,1.314,0.013,"0,0,0,0",v
2015-09-17 12:00,1.331,0.014,"0,0,0,0",v
2015-09-17 12:06,1.335,0.013,"0,0,0,0",v
2015-09-17 12:12,1.341,0.013,"0,0,0,0",v
