t,v,s,f,q
2009-09-30 18:24,1.099,0.026,"0,0,0,0",v
2009-09-30 18:30,1.132,0.032,"0,0,0,0",v
2009-09-30 18:36,1.07,0.028,"0,0,0,0",v
2009-09-30 18:42,1.163,0.025,"0,0,0,0",v
2009-09-30 18:48,1.058,0.027,"0,0,0,0",v
2009-09-30 18:54,1.151,0.027,"0,0,1,0",v
2009-09-30 19:00,1.087,0.029,"0,0,0,0",v
2009-09-30 19:06,1.124,0.031,"0,0,0,0",v
2009-09-30 19:12,1.102,0.03,"0,0,0,0",v
2009-09-30 19:18,1.119,0.023,"0,0,0,0",v
2009-09-30 19:24,1.117,0.029,"0,0,0,0",v
2009-09-30 19:30,1.117,0.027,"0,0,0,0",v
2009-09-30 19:36,1.138,0.028,"0,0,0,0",v
2009-09-30 19:42,1.105,0.029,"0,0,0,0",v
2009-09-30 19:48,1.156,0.024,"0,0,0,0",v
2009-09-30 19:54,1.109,0.028,"0,0,0,0",v
2009-09-30 20:00,1.156,0.032,"0,0,0,0",v
2009-09-30 20:06,1.149,0.031,"0,0,0,0",v
2009-09-30 20:12,1.132,0.031,"0,0,0,0",v
2009-09-30 20:18,1.171,0.028,"0,0,0,0",v
2009-09-30 20:24,1.123,0.026,"0,0,0,0",v
2009-09-30 20:30,1.206,0.033,"0,0,0,0",v
2009-09-30 20:36,1.108,0.032,"0,0,0,0",v
2009-09-30 20:42,1.222,0.026,"0,0,1,0",v
2009-09-30 20:48,1.141,0.034,"0,0,1,0",v
2009-09-30 20:54,1.192,0.032,"0,0,0,0",v
2009-09-30 21:00,1.176,0.03,"0,0,0,0",v
2009-09-30 21:06,1.191,0.033,"0,0,0,0",v
2009-09-30 21:12,1.191,0.032,"0,0,0,0",v
2009-09-30 21:18,1.179,0.028,"0,0,0,0",v
2009-09-30 21:24,1.214,0.031,"0,0,0,0",v
2009-09-30 21:30,1.192,0.029,"0,0,0,0",v
2009-09-30 21:36,1.222,0.028,"0,0,0,0",v
2009-09-30 21:42,1.201,0.035,"0,0,0,0",v
2009-09-30 21:48,1.219,0.031,"0,0,0,0",v
2009-09-30 21:54,1.237,0.032,"0,0,0,0",v
2009-09-30 22:00,1.201,0.034,"0,0,0,0",v
2009-09-30 22:06,1.251,0.033,"0,0,0,0",v
2009-09-30 22:12,1.219,0.033,"0,0,0,0",v
2009-09-30 22:18,1.238,0.028,"0,0,0,0",v
2009-09-30 22:24,1.245,0.029,"0,0,0,0",v
